ask,bid,call_put,date,delta,gamma,strike,theta,vega,vol,option_price,iv_percent,days_to_expiration
16.0,15.65,Call,2025-01-07,0.7722,0.0157,230.0,-0.114,0.2132,0.2718,15.825,27.18,31
16.25,15.9,Call,2025-01-08,0.7664,0.0153,230.0,-0.1107,0.2122,0.2847,16.075,28.470000000000002,30
16.25,15.9,Call,2025-01-09,0.7664,0.0153,230.0,-0.1107,0.2122,0.2847,16.075,28.470000000000002,29
13.45,11.2,Call,2025-01-10,0.6501,0.0174,230.0,-0.1429,0.242,0.3213,12.325,32.129999999999995,28
10.0,9.7,Call,2025-01-13,0.6175,0.0207,230.0,-0.1453,0.2334,0.2986,9.85,29.86,25
6.5,6.35,Call,2025-01-27,0.5216,0.0253,230.0,-0.2981,0.159,0.3937,6.425,39.37,11
2.72,2.6,Put,2025-01-07,-0.2296,0.0159,230.0,-0.0878,0.2156,0.2718,2.66,27.18,31
2.47,2.38,Put,2025-01-08,-0.2193,0.016,230.0,-0.0884,0.2106,0.2667,2.425,26.669999999999998,30
2.47,2.38,Put,2025-01-09,-0.2193,0.016,230.0,-0.0884,0.2106,0.2667,2.425,26.669999999999998,29
4.8,3.9,Put,2025-01-10,-0.3346,0.0194,230.0,-0.1195,0.2409,0.2864,4.35,28.64,28
4.7,4.55,Put,2025-01-13,-0.3754,0.0223,230.0,-0.1253,0.2336,0.2778,4.625,27.779999999999998,25
6.2,6.05,Put,2025-01-27,-0.4802,0.0256,230.0,-0.2738,0.159,0.3935,6.125,39.35,11
